Subjects,Triples,mps,Kafka_in,Kafka_out,End_time
3,6,120,1755177260162,1755177260164.214,1755177260164.959
3,6,120,1755177260174,1755177260176.3762,1755177260176.951
3,6,120,1755177260187,1755177260189.4321,1755177260190.2039
3,6,120,1755177260198,1755177260200.335,1755177260201.059
3,6,120,1755177260212,1755177260214.818,1755177260215.6018
3,6,120,1755177260223,1755177260225.1147,1755177260225.775
3,6,120,1755177260235,1755177260237.256,1755177260238.003
3,6,120,1755177260249,1755177260252.128,1755177260252.8
3,6,120,1755177260260,1755177260262.4531,1755177260263.084
3,6,120,1755177260272,1755177260274.557,1755177260275.281
3,6,120,1755177260283,1755177260286.426,1755177260287.105
3,6,120,1755177260296,1755177260298.004,1755177260298.718
3,6,120,1755177260307,1755177260312.2,1755177260312.939
3,6,120,1755177260319,1755177260323.7651,1755177260324.416
3,6,120,1755177260332,1755177260335.239,1755177260335.885
3,6,120,1755177260347,1755177260348.918,1755177260349.954
3,6,120,1755177260360,1755177260361.909,1755177260362.545
3,6,120,1755177260371,1755177260373.459,1755177260374.1802
3,6,120,1755177260386,1755177260387.671,1755177260388.5498
3,6,120,1755177260396,1755177260398.153,1755177260398.766
3,6,120,1755177260407,1755177260409.007,1755177260409.619
3,6,120,1755177260418,1755177260420.0032,1755177260420.632
3,6,120,1755177260432,1755177260434.693,1755177260435.425
3,6,120,1755177260443,1755177260445.1467,1755177260445.801
3,6,120,1755177260454,1755177260456.21,1755177260456.9158
3,6,120,1755177260466,1755177260468.541,1755177260469.268
3,6,120,1755177260477,1755177260479.511,1755177260480.164
3,6,120,1755177260489,1755177260490.7341,1755177260491.336
3,6,120,1755177260500,1755177260502.393,1755177260503.0972
3,6,120,1755177260511,1755177260513.7139,1755177260514.3892
3,6,120,1755177260523,1755177260524.88,1755177260525.54
3,6,120,1755177260535,1755177260536.793,1755177260537.448
3,6,120,1755177260548,1755177260549.893,1755177260550.6912
3,6,120,1755177260559,1755177260561.197,1755177260561.784
3,6,120,1755177260573,1755177260575.0598,1755177260575.704
3,6,120,1755177260587,1755177260590.2678,1755177260590.803
