Subjects,Triples,mps,Kafka_in,Kafka_out,End_time
3,6,100,1755172705952,1755172705955.0212,1755172705955.8752
3,6,100,1755172705967,1755172705971.095,1755172705971.977
3,6,100,1755172705980,1755172705984.238,1755172705984.951
3,6,100,1755172705995,1755172705998.614,1755172705999.277
3,6,100,1755172706010,1755172706012.785,1755172706013.5469
3,6,100,1755172706023,1755172706026.013,1755172706027.593
3,6,100,1755172706038,1755172706065.705,1755172706066.3118
3,6,100,1755172706054,1755172706083.4602,1755172706084.022
3,6,100,1755172706069,1755172706093.3672,1755172706094.23
3,6,100,1755172706082,1755172706101.5679,1755172706102.065
3,6,100,1755172706096,1755172706110.7532,1755172706111.351
3,6,100,1755172706108,1755172706119.092,1755172706119.563
3,6,100,1755172706122,1755172706127.81,1755172706128.306
3,6,100,1755172706137,1755172706138.972,1755172706139.5269
3,6,100,1755172706150,1755172706151.9941,1755172706152.6348
3,6,100,1755172706162,1755172706164.397,1755172706165.03
3,6,100,1755172706174,1755172706176.2031,1755172706176.9321
3,6,100,1755172706188,1755172706189.836,1755172706190.5369
3,6,100,1755172706202,1755172706203.928,1755172706204.7031
3,6,100,1755172706214,1755172706216.2559,1755172706216.8362
3,6,100,1755172706228,1755172706230.0898,1755172706230.916
3,6,100,1755172706240,1755172706242.5852,1755172706243.718
3,6,100,1755172706253,1755172706255.394,1755172706256.02
3,6,100,1755172706268,1755172706269.825,1755172706270.446
3,6,100,1755172706282,1755172706284.722,1755172706285.5208
3,6,100,1755172706294,1755172706296.9558,1755172706297.677
3,6,100,1755172706309,1755172706311.963,1755172706312.953
3,6,100,1755172706324,1755172706326.572,1755172706327.614
3,6,100,1755172706337,1755172706339.335,1755172706340.084
3,6,100,1755172706350,1755172706352.0151,1755172706352.8252
3,6,100,1755172706363,1755172706366.35,1755172706367.625
3,6,100,1755172706378,1755172706382.22,1755172706382.9802
3,6,100,1755172706397,1755172706400.9148,1755172706402.262
3,6,100,1755172706410,1755172706412.919,1755172706413.5251
3,6,100,1755172706424,1755172706426.672,1755172706428.0332
3,6,100,1755172706437,1755172706439.356,1755172706439.959
3,6,100,1755172706452,1755172706454.1772,1755172706454.821
3,6,100,1755172706466,1755172706468.978,1755172706469.57
3,6,100,1755172706479,1755172706481.5093,1755172706482.2249
3,6,100,1755172706492,1755172706495.413,1755172706496.454
3,6,100,1755172706505,1755172706507.5422,1755172706508.409
3,6,100,1755172706518,1755172706520.115,1755172706520.931
